senderID,receiverID,amount,transactionType,transactionDate
MC2951876 ,MC1897522,100,Direct Income,2025-03-23T00:00:01.867+00:00
MC2862160 ,MC1897522,100,Direct Income,2025-03-23T02:33:00.867+00:00
Hyper Binary Income,MC1897522,100,Hyper Binary Income,2025-03-24T00:01:43.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-02T00:01:29.867+00:00
Mint Income,MC2951876,179.928,Mint Income,2025-04-02T00:04:24.867+00:00
Mint Income,MC1897522,449.82,Mint Income,2025-04-02T00:10:29.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-02T00:10:53.867+00:00
Minting Level Income,MC1897522,0.9996,Minting Level Income,2025-04-03T00:40:48.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-03T06:09:12.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-03T06:10:18.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-03T18:12:03.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-03T18:12:37.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-03T18:13:23.867+00:00
Mint Income,MC2862160,179.928,Mint Income,2025-04-03T18:29:13.867+00:00
Minting Level Income,MC1897522,0.9996,Minting Level Income,2025-04-04T00:42:45.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-04T10:09:53.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-04T10:10:12.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-04T10:10:28.867+00:00
Minting Level Income,MC1897522,3.9984,Minting Level Income,2025-04-05T00:33:29.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-05T06:01:48.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-05T06:02:25.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-05T06:02:47.867+00:00
Mint Income,MC1897522,24.99,Mint Income,2025-04-05T22:00:17.867+00:00
Mint Income,MC2951876,9.996,Mint Income,2025-04-05T22:00:34.867+00:00
Mint Income,MC2862160,9.996,Mint Income,2025-04-05T22:00:48.867+00:00
