_id,userID,hubAmount,purchaseDate,uniqueHubId,uniqueId
MC6588012,AdminHub,550,2025-04-15T19:19:04.648+00:00,3,359936
MC8954564,AdminHub,550,2025-04-19T12:55:54.648+00:00,3,361145
MC9014956,MC9014956,27.5,2025-04-22T15:22:35.648+00:00,15,362127
MC9014956,MC9014956,27.5,2025-04-23T12:31:23.648+00:00,15,362445
MC2946258,MC2946258,27.5,2025-04-24T10:45:28.648+00:00,15,362764
MC6755591,MC6755591,55,2025-04-25T14:23:26.648+00:00,19,363116
MC340443,AdminHub,2750,2025-04-25T21:10:32.648+00:00,6,363225
MC8436589,MC8436589,27.5,2025-04-29T09:38:06.648+00:00,15,364386
MC5591665,MC5591665,27.5,2025-04-29T12:00:01.648+00:00,15,364439
MC2081636,MC2081636,27.5,2025-05-07T12:32:35.648+00:00,15,367284
MC4073916,MC4073916,55,2025-05-13T15:13:06.648+00:00,19,379040
MC9375085,MC9375085,55,2025-05-14T15:50:26.648+00:00,19,379346
MC9471052,MC9471052,27.5,2025-05-20T11:12:45.648+00:00,15,381030
MC7076453,MC7076453,27.5,2025-05-20T12:11:03.648+00:00,15,381074
MC8708777,MC8708777,27.5,2025-05-21T13:31:30.648+00:00,15,381850
MC3564968,MC3564968,110,2025-05-24T14:18:32.648+00:00,1,392800
MC3795778,MC3795778,110,2025-05-24T20:12:01.648+00:00,1,392892
MC5832092,MC5832092,27.5,2025-05-25T15:11:39.648+00:00,15,393126
MC1165261,MC1165261,27.5,2025-05-26T13:13:41.648+00:00,15,403408
MC6106418,MC6106418,300,2025-06-01T21:48:50.648+00:00,1148,416000
MC3405424,MC3405424,300,2025-06-02T15:09:38.648+00:00,1148,416260
MC2946258,MC2946258,55,2025-06-02T16:54:13.648+00:00,19,416326
MC1810108,MC1810108,27.5,2025-06-02T23:23:48.648+00:00,15,416586
MC7269370,MC7269370,27.5,2025-06-03T07:40:40.648+00:00,15,416642
MC6244314,MC6244314,110,2025-06-06T13:39:18.648+00:00,1,419362
MC5242915,MC5242915,27.5,2025-06-09T10:33:51.648+00:00,15,420591
MC2147094,MC2147094,27.5,2025-06-10T10:29:23.648+00:00,15,421113
MC9014956,AdminHub,550,2025-06-10T11:26:14.648+00:00,3,421129
MC8270182,AdminHub,550,2025-06-11T18:11:16.648+00:00,3,421777
MC1810108,MC1810108,300,2025-06-13T08:53:25.648+00:00,1148,422456
MC6653851,MC6653851,55,2025-06-13T17:19:26.648+00:00,19,422675
MC1899810,MC1899810,55,2025-06-14T08:33:21.648+00:00,19,422958
MC2407980,MC2407980,300,2025-06-15T09:51:53.648+00:00,1148,423437
MC4994827,MC4994827,55,2025-06-16T02:07:07.648+00:00,19,423754
MC9577715,MC9577715,55,2025-06-16T06:40:38.648+00:00,19,423761
MC6830910,MC6830910,110,2025-06-21T16:45:45.648+00:00,1,426047
MC4446264,MC4446264,27.5,2025-06-25T10:35:18.648+00:00,15,427264
MC8801046,MC8801046,27.5,2025-06-25T12:17:32.648+00:00,15,427284
MC6223155,MC6223155,55,2025-06-29T15:53:11.648+00:00,19,439258
MC1802055,MC1802055,55,2025-06-29T19:43:18.648+00:00,19,439394
MC9988109,MC9988109,55,2025-06-29T19:50:00.648+00:00,19,439400
MC1810108,MC1810108,110,2025-06-30T10:59:01.648+00:00,1,439750
MC1810108,MC1810108,110,2025-06-30T13:06:15.648+00:00,1,439825
MC2564876,MC2564876,55,2025-06-30T14:40:36.648+00:00,19,439875
MC4852807,MC4852807,55,2025-06-30T14:49:04.648+00:00,19,439883
MC9988109,MC9988109,300,2025-06-30T18:38:07.648+00:00,1148,439982
MC7510655,MC7510655,55,2025-07-01T17:01:31.648+00:00,19,440415
MC3937433,MC3937433,55,2025-07-01T17:45:31.648+00:00,19,440457
MC5521351,MC5521351,55,2025-07-03T00:52:06.648+00:00,19,442261
MC3380852,MC3380852,55,2025-07-03T11:16:55.648+00:00,19,442740
MC2402013,MC2402013,55,2025-07-04T10:55:21.648+00:00,19,456110
MC9567251,MC9567251,55,2025-07-04T11:25:55.648+00:00,19,456178
MC4915053,MC4915053,55,2025-07-04T11:38:19.648+00:00,19,456202
MC9424683,MC9424683,55,2025-07-04T15:24:07.648+00:00,19,456849
MC2640189,MC2640189,55,2025-07-05T10:42:15.648+00:00,19,458627
MC2060628,MC2060628,55,2025-07-11T10:44:54.648+00:00,19,461514
MC7418397,MC7418397,55,2025-07-15T13:45:18.648+00:00,19,462879
MC1950048,MC1950048,55,2025-07-22T15:42:34.648+00:00,19,465210
MC2192955,MC2192955,55,2025-07-24T22:33:51.648+00:00,19,465483
MC7711812,MC7711812,55,2025-07-25T15:59:15.648+00:00,19,465561
MC1165261,MC1165261,27.5,2025-07-28T09:52:52.648+00:00,15,465897
MC5242915,MC5242915,27.5,2025-07-28T11:13:25.648+00:00,15,465899
MC9471052,MC9471052,27.5,2025-07-28T17:54:20.648+00:00,15,465959
MC4320184,MC4320184,110,2025-07-28T18:31:56.648+00:00,1,465965
MC2081636,MC2081636,110,2025-07-28T21:10:03.648+00:00,1,465981
MC1411292,MC1411292,55,2025-08-01T20:09:22.648+00:00,19,467139
